atsu.edu|A.T. Still University of Health Sciences|AZ / MO
rosalindfranklin.edu|Rosalind Franklin University of Medicine & Science|IL
rose-hulman.edu|Rose-Hulman Institute of Technology|IN
roseman.edu|Roseman University of Health Sciences|AZ
rosemont.edu|Rosemont College|PA
rowan.edu|Rowan University|NJ
rushu.rush.edu|Rush University|IL
rustcollege.edu|Rust College|MS
camden.rutgers.edu|Rutgers University-Camden|NJ
nb.rutgers.edu|Rutgers University-New Brunswick|NJ
newark.rutgers.edu|Rutgers University-Newark|NJ
tabor.edu|Tabor College|KS
talladega.edu|Talladega College|AL
tarleton.edu|Tarleton State University|TX
taylor.edu|Taylor University|IN
tcmi.org|TCM International Institute|IN
tc.columbia.edu|Teachers College, Columbia University|NY
temple.edu|Temple University|PA
tnstate.edu|Tennessee State University|TN
tntech.edu|Tennessee Technological University|TN
twcnet.edu|Tennessee Wesleyan College|TN
tamiu.edu|Texas A&M International University|TX
tamu.edu|Texas A&M University|TX
tamuct.edu|Texas A&M University-Central Texas|TX
tamuc.edu|Texas A&M University-Commerce|TX
tamucc.edu|Texas A&M University-Corpus Christi|TX
tamug.edu|Texas A&M University-Galveston|TX
tamhsc.edu|Texas A&M University Health Science Center|TX
tamuk.edu|Texas A&M University-Kingsville|TX
tamusa.tamus.edu|Texas A&M University-San Antonio|TX) <I>(operates as branch of Texas A&M University-Kingsville)</I></LI>
tamut.edu|Texas A&M University-Texarkana|TX
txchiro.edu|Texas Chiropractic College|TX
tcu.edu|Texas Christian University|TX
texascollege.edu|Texas College|TX
tlu.edu|Texas Lutheran University|TX
tsu.edu|Texas Southern University|TX
txstate.edu|Texas State University-San Marcos|TX
ttu.edu|Texas Tech University|TX
ttuhsc.edu|Texas Tech University Health Sciences Center|TX
txwes.edu|Texas Wesleyan University|TX
twu.edu|Texas Woman's University|TX
thiel.edu|Thiel College|PA
thomasaquinas.edu|Thomas Aquinas College|CA
thomasu.edu|Thomas University|GA
thomas.edu|Thomas College|ME
tesc.edu|Thomas Edison State College|NJ
jefferson.edu|Thomas Jefferson University|PA
cooley.edu|Thomas M. Cooley Law School|MI
thomasmore.edu|Thomas More College|KY
thomasmorecollege.edu|The Thomas More College of Liberal Arts|NH
thunderbird.edu|Thunderbird School of Global Management|AZ
tiffin.edu|Tiffin University|OH
tfc.edu|Toccoa Falls College|GA
tougaloo.edu|Tougaloo College|MS
touro.edu|Touro College|NY
touro.edu/losangeles|Touro College Los Angeles|CA
tu.edu|Touro University California|CA
tun.touro.edu|Touro University Nevada|NV
tuw.edu|Touro University Worldwide|CA
towson.edu|Towson University|MD
ttic.edu|Toyota Technological Institute at Chicago|IL
transy.edu|Transylvania University|KY
trevecca.edu|Trevecca Nazarene University|TN
trident.edu|Trident University International|CA
trine.edu|Trine University|IN
trinitybiblecollege.edu|Trinity Bible College|ND
trnty.edu|Trinity Christian College|IL
trincoll.edu|Trinity College|CT
trinitycollegeqc.edu|Trinity College of Nursing & Health Sciences|IL
tlsohio.edu|Trinity Lutheran Seminary|OH
trinitydc.edu|Trinity University|DC
trinitycollege.edu|Trinity College of Florida|FL
tiu.edu|Trinity International University|IL
tlc.edu|Trinity Lutheran College|WA
trinity.edu|Trinity University|TX
troy.edu|Troy University|AL
truett.edu|Truett-McConnell College|GA
truman.edu|Truman State University|MO
tufts.edu|Tufts University|MA
tulane.edu|Tulane University|LA
tm.edu|Turtle Mountain Community College|ND
tusculum.edu|Tusculum College|TN
tuskegee.edu|Tuskegee University|AL
uts.edu|Unification Theological Seminary|NY
usuhs.mil|Uniformed Services University of the Health Sciences|MD
unionky.edu|Union College|KY
ucollege.edu|Union College|NE
union.edu|Union College|NY
uniongraduatecollege.edu|Union Graduate College|NY
myunion.edu|Union Institute & University|OH
upsem.edu|Union Presbyterian Seminary|VA
utsnyc.edu|Union Theological Seminary|NY
uu.edu|Union University|TN
usafa.edu|United States Air Force Academy|CO
usacac.army.mil/cac2/cgsc|United States Army Command & General Staff College|KS
carlisle.army.mil|United States Army War College|PA
uscga.edu|United States Coast Guard Academy|CT
usmma.edu|United States Merchant Marine Academy|NY
usma.edu|United States Military Academy|NY
usna.edu|United States Naval Academy|MD
usnwc.edu|United States Naval War College|RI
ussa.edu|United States Sports Academy|AL
usuniversity.edu|United States University|CA
united.edu|United Theological Seminary|OH
unitedseminary.edu|United Theological Seminary of the Twin Cities|MN
unity.edu|Unity College|ME
uaa.edu|Universidad Adventista de las Antillas|PR
ucb.edu.pr|Universidad Central de Bayam&oacute;n|PR
uccaribe.edu|Universidad Central del Caribe|PR
sagrado.edu|Universidad del Sagrado Coraz&oacute;n|PR
inter.edu|Universidad Interamericana de Puerto Rico|PR
pupr.edu|Universidad Politecnica de Puerto Rico|PR
usmd.edu|University System of Maryland|MD
uiu.edu|Upper Iowa University|IA
urbana.edu|Urbana University|OH
ursinus.edu|Ursinus College|PA
ursuline.edu|Ursuline College|OH
usu.edu|Utah State University|UT
uvu.edu|Utah Valley University|UT
utica.edu|Utica College|NY
uat.edu|University of Advancing Technology|AZ
uakron.edu|University of Akron|OH
ua.edu|University of Alabama|AL
uab.edu|University of Alabama-Birmingham|AL
uah.edu|University of Alabama-Huntsville|AL
alaska.edu|University of Alaska System|AK
uaa.alaska.edu|Anchorage|</LI>
uaf.edu|Fairbanks|</LI>
uas.alaska.edu|Southeast|Juneau
arizona.edu|University of Arizona|AZ
uark.edu|University of Arkansas|AR
uafs.edu|University of Arkansas-Fort Smith|AR
ualr.edu|University of Arkansas-Little Rock|AR
uams.edu|University of Arkansas for Medical Sciences|AR
uamont.edu|University of Arkansas-Monticello|AR
uapb.edu|University of Arkansas-Pine Bluff|AR
uasys.edu|University of Arkansas System|AR)
ubalt.edu|University of Baltimore|MD
bridgeport.edu|University of Bridgeport|CT
berkeley.edu|University of California-Berkeley|CA
ucdavis.edu|University of California-Davis|CA
uchastings.edu|University of California Hastings College of the Law|CA
uci.edu|University of California-Irvine|CA
ucla.edu|University of California-Los Angeles|CA
ucmerced.edu|University of California-Merced|CA
ucr.edu|University of California-Riverside|CA
ucsd.edu|University of California-San Diego|CA
ucsf.edu|University of California-San Francisco|CA
ucsb.edu|University of California-Santa Barbara|CA
ucsc.edu|University of California-Santa Cruz|CA
ucop.edu|University of California System|CA
uca.edu|University of Central Arkansas|AR
ucf.edu|University of Central Florida|FL
ucmo.edu|University of Central Missouri|MO
uco.edu|University of Central Oklahoma|OK
ucwv.edu|University of Charleston|WV
uchicago.edu|University of Chicago|IL
uc.edu|University of Cincinnati|OH
ucblueash.edu|University of Cincinnati-Blue Ash|OH
colorado.edu|University of Colorado-Boulder|CO
uccs.edu|University of Colorado-Colorado Springs|CO
ucdenver.edu|University of Colorado-Denver|CO
cu.edu|University of Colorado System|CO
uconn.edu|University of Connecticut|CT
udallas.edu|University of Dallas|TX
udayton.edu|University of Dayton|OH
udel.edu|University of Delaware|DE
du.edu|University of Denver|CO
udc.edu|University of the District of Columbia|DC
udmercy.edu|University of Detroit Mercy|MI
dbq.edu|University of Dubuque|IA
evansville.edu|University of Evansville|IN
findlay.edu|The University of Findlay|OH
ufl.edu|University of Florida|FL
uga.edu|University of Georgia|GA
ugf.edu|University of Great Falls|MT
uog.edu|University of Guam|GU
hartford.edu|University of Hartford|CT
hilo.hawaii.edu|University of Hawaii-Hilo|HI
manoa.hawaii.edu|University of Hawaii-Manoa|HI
hawaii.edu|University of Hawaii System|HI
uhwo.hawaii.edu|University of Hawaii-West O'ahu|HI
uh.edu|University of Houston|TX
uhcl.edu|University of Houston-Clear Lake|TX
uhd.edu|University of Houston-Downtown|TX
uhv.edu|University of Houston-Victoria|TX
uidaho.edu|University of Idaho|ID
uic.edu|University of Illinois-Chicago|IL
uis.edu|University of Illinois-Springfield|IL
uillinois.edu|University of Illinois System|IL
illinois.edu|University of Illinois-Urbana-Champaign|IL
uindy.edu|University of Indianapolis|IN
uiowa.edu|University of Iowa|IA
uj.edu|University of Jamestown|ND
ku.edu|University of Kansas|KS
kumc.edu|University of Kansas Medical Center|KS
uky.edu|University of Kentucky|KY
laverne.edu|University of La Verne|CA
ulm.edu|University of Louisiana-Monroe|LA
louisiana.edu|University of Louisiana-Lafayette|LA
louisville.edu|University of Louisville|KY
umaine.edu|University of Maine|ME
uma.edu|University of Maine-Augusta|ME
umf.maine.edu|University of Maine-Farmington|ME
umfk.edu|University of Maine-Fort Kent|ME
machias.edu|University of Maine-Machias|ME
umpi.edu|University of Maine-Presque Isle|ME
mainelaw.maine.edu|University of Maine School of Law|ME
maine.edu|University of Maine System|ME
umary.edu|University of Mary|ND
umhb.edu|University of Mary Hardin-Baylor|TX
umw.edu|University of Mary Washington|VA
umaryland.edu|University of Maryland-Baltimore|</LI>
umbc.edu|University of Maryland-Baltimore County|</LI>
umd.edu|University of Maryland-College Park|</LI>
umes.edu|University of Maryland-Eastern Shore|</LI>
umuc.edu|University of Maryland-University College|</LI>
umass.edu|University of Massachusetts-Amherst|MA
umb.edu|University of Massachusetts-Boston|MA
umassd.edu|University of Massachusetts-Dartmouth|MA
uml.edu|University of Massachusetts-Lowell|MA
umassmed.edu|University of Massachusetts Medical School at Worcester|MA
massachusetts.edu|University of Massachusetts System|MA
umdnj.edu|University of Medicine & Dentistry of New Jersey|NJ
memphis.edu|University of Memphis|TN
miami.edu|University of Miami|FL
umich.edu|University of Michigan|MI
umd.umich.edu|University of Michigan-Dearborn|MI
umflint.edu|University of Michigan-Flint|MI
crk.umn.edu|University of Minnesota-Crookston|MN
d.umn.edu|University of Minnesota-Duluth|MN
morris.umn.edu|University of Minnesota-Morris|MN
umn.edu|University of Minnesota-Twin Cities|MN
olemiss.edu|University of Mississippi|MS
umc.edu|University of Mississippi Medical Center|MS
missouri.edu|University of Missouri|MO
umkc.edu|University of Missouri-Kansas City|MO
umsl.edu|University of Missouri-Saint Louis|MO
umsystem.edu|University of Missouri System|MO
umobile.edu|University of Mobile|AL
umt.edu|University of Montana-Missoula|MT
umwestern.edu|University of Montana-Western|MT
montevallo.edu|University of Montevallo|AL
mountunion.edu|University of Mount Union|OH
unk.edu|University of Nebraska-Kearney|NE
unl.edu|University of Nebraska-Lincoln|NE
unmc.edu|University of Nebraska Medical Center|NE
unomaha.edu|University of Nebraska-Omaha|NE
nebraska.edu|University of Nebraska System|NE
unlv.edu|University of Nevada-Las Vegas|NV
unr.edu|University of Nevada-Reno|NV
une.edu|University of New England|ME
unh.edu|University of New Hampshire|NH
manchester.unh.edu|University of New Hampshire at Manchester|NH
law.unh.edu|University of New Hampshire School of Law|NH
newhaven.edu|University of New Haven|CT
unm.edu|University of New Mexico|NM
uno.edu|University of New Orleans|LA
una.edu|University of North Alabama|AL
unca.edu|University of North Carolina-Asheville|NC
unc.edu|University of North Carolina-Chapel Hill|NC
uncc.edu|University of North Carolina-Charlotte|NC
uncg.edu|University of North Carolina-Greensboro|NC
uncp.edu|University of North Carolina-Pembroke|NC
uncsa.edu|University of North Carolina-School of the Arts|NC
uncw.edu|University of North Carolina-Wilmington|NC
und.edu|University of North Dakota|ND
unf.edu|University of North Florida|FL
ung.edu|University of North Georgia|GA
unt.edu|University of North Texas|TX
hsc.unt.edu|University of North Texas Health Science Center|TX
unco.edu|University of Northern Colorado|CO
uni.edu|University of Northern Iowa|IA
unoh.edu|University of Northwestern Ohio|OH
unwsp.edu|University of Northwestern-Saint Paul|MN
nd.edu|University of Notre Dame|IN
ou.edu|University of Oklahoma|OK
ouhsc.edu|University of Oklahoma Health Sciences Center|OK
ou.edu/tulsa|University of Oklahoma-Tulsa|OK
uoregon.edu|University of Oregon|OR
ozarks.edu|University of the Ozarks|AR
valdosta.edu|Valdosta State University|GA
valenciacollege.edu|Valencia College|FL
vcsu.edu|Valley City State University|ND
vfcc.edu|Valley Forge Christian College|PA
valpo.edu|Valparaiso University|IN
vanderbilt.edu|Vanderbilt University|TN
vandercook.edu|VanderCook College of Music|IL
vanguard.edu|Vanguard University of Southern California|CA
vassar.edu|Vassar College|NY
vaughn.edu|Vaughn College of Aeronautics & Technology|NY
vcfa.edu|Vermont College of Fine Arts|VT
vermontlaw.edu|Vermont Law School|VT
vtc.edu|Vermont Technical College|VT
victory.edu|Victory University|TN
villa.edu|Villa Maria College|NY
villanova.edu|Villanova University|PA
vinu.edu|Vincennes University|IN
vcu.edu|Virginia Commonwealth University|VA
vic.edu|Virginia Intermont College|VA
vmi.edu|Virginia Military Institute|VA
vt.edu|Virginia Polytechnic Institute & State University|VA
vsu.edu|Virginia State University|VA
vuu.edu|Virginia Union University|VA
vwc.edu|Virginia Wesleyan College|VA
viterbo.edu|Viterbo University|WI
voorhees.edu|Voorhees College|SC
wabash.edu|Wabash College|IN
wadecollege.edu|Wade College|TX
wagner.edu|Wagner College|NY
wfu.edu|Wake Forest University|NC
waldenu.edu|Walden University|MN
waldorf.edu/">Waldorf College|IA
wallawalla.edu|Walla Walla University|WA
walshcollege.edu|Walsh College|MI
walsh.edu|Walsh University|OH
warnerpacific.edu|Warner Pacific College|OR
warner.edu|Warner University|FL
warren-wilson.edu|Warren Wilson College|NC
wartburg.edu|Wartburg College|IA
wartburgseminary.edu|Wartburg Theological Seminary|IA
washburn.edu|Washburn University|KS
washjeff.edu|Washington & Jefferson College|PA
wlu.edu|Washington & Lee University|VA
wau.edu|Washington Adventist University|MD
bible.edu|Washington Bible College/Capital Bible Seminary|MD
washcoll.edu|Washington College|MD
wsu.edu|Washington State University|WA
spokane.wsu.edu|Washington State University-Spokane|WA
tricity.wsu.edu|Washington State University-Tri-Cities|WA
vancouver.wsu.edu|Washington State University-Vancouver|WA
wtu.edu|Washington Theological Union|DC
wustl.edu|Washington University in Saint Louis|MO
watkins.edu|Watkins College of Art, Design, & Film|TN
wbu.edu|Wayland Baptist University|TX
wsc.edu|Wayne State College|NE
wayne.edu|Wayne State University|MI
waynesburg.edu|Waynesburg University|PA
webb.edu|Webb Institute|NY
webber.edu|Webber International University|FL
weber.edu|Weber State University|UT
webster.edu|Webster University|MO
welch.edu|Welch College|TN
wellesley.edu|Wellesley College|MA
wells.edu|Wells College|NY
wit.edu|Wentworth Institute of Technology|MA
wesley.edu|Wesley College|DE
wesleyseminary.edu|Wesley Theological Seminary|DC
wesleyancollege.edu|Wesleyan College|GA
wesleyan.edu|Wesleyan University|CT
wcupa.edu|West Chester University of Pennsylvania|PA
westliberty.edu|West Liberty University|WV
wtamu.edu|West Texas A&M University|TX
wvstateu.edu|West Virginia State University|WV
wvu.edu|West Virginia University|WV
wvutech.edu|West Virginia University Institute of Technology|WV
wvup.edu|West Virginia University at Parkersburg|WV
wvwc.edu|West Virginia Wesleyan College|WV
wcu.edu|Western Carolina University|NC
wcsu.edu|Western Connecticut State University|CT
wgu.edu|Western Governors University|UT
indiana.wgu.edu|Western Governors University-Indiana|IN
missouri.wgu.edu|Western Governors University-Missouri|MO
tennessee.wgu.edu|Western Governors University-Tennessee|TN
texas.wgu.edu|Western Governors University-Texas|TX
washington.wgu.edu|Western Governors University-Washington|WA
wiu.edu|Western Illinois University|IL
west.edu|Western International University|AZ
wku.edu|Western Kentucky University|KY
wmich.edu|Western Michigan University|MI
wnc.edu|Western Nevada College|NV
wne.edu|Western New England University|MA
wnmu.edu|Western New Mexico University|NM
wou.edu|Western Oregon University|OR
westernseminary.edu|Western Seminary|OR
western.edu|Western State Colorado University|CO
wsulaw.edu|Western State University College of Law|CA
westernu.edu|Western University of Health Sciences|CA
wwu.edu|Western Washington University|WA
wsc.ma.edu|Westfield State University|MA
westminster.edu|Westminster College|PA
westminster-mo.edu|Westminster College|MO
westminstercollege.edu|Westminster College|UT
wts.edu|Westminster Theological Seminary|PA
wscal.edu|Westminster Seminary California|CA
westmont.edu|Westmont College|CA
wheaton.edu|Wheaton College|IL
wheatoncollege.edu|Wheaton College|MA
wju.edu|Wheeling Jesuit University|WV
wheelock.edu|Wheelock College|MA
whitman.edu|Whitman College|WA
whittier.edu|Whittier College|CA
whitworth.edu|Whitworth University|WA
wichita.edu|Wichita State University|KS
widener.edu|Widener University|PA
wilberforce.edu|Wilberforce University|OH
wileyc.edu|Wiley College|TX
wilkes.edu|Wilkes University|PA
willamette.edu|Willamette University|OR
wmcarey.edu|William Carey University|MS
jessup.edu|William Jessup University|CA
jewell.edu|William Jewell College|MO
wmpenn.edu|William Penn University|IA
wpunj.edu|William Paterson University|NJ
williamwoods.edu|William Woods University|MO
wbcoll.edu|Williams Baptist College|AR
williams.edu|Williams College|MA
wilmu.edu|Wilmington University|DE
wilmington.edu|Wilmington College|OH
wilson.edu|Wilson College|PA
wingate.edu|Wingate University|NC
winona.edu|Winona State University|MN
wssu.edu|Winston-Salem State University|NC
winthrop.edu|Winthrop University|SC
wlc.edu|Wisconsin Lutheran College|WI
wspp.edu|Wisconsin School of Professional Psychology|WI
wittenberg.edu|Wittenberg University|OH
wofford.edu|Wofford College|SC
woninstitute.edu|Won Institute of Graduate Studies|PA
woodbury.edu|Woodbury University|CA
whoi.edu|Woods Hole Oceanographic Institution|MA
wpi.edu|Worcester Polytechnic Institute|MA
worcester.edu|Worcester State University|MA
wi.edu|The Wright Institute|CA
wright.edu|Wright State University|OH
babson.edu|Babson College|MA
bacone.edu|Bacone College|OK
bw.edu|Baldwin-Wallace College|OH
bsu.edu|Ball State University|IN
baker.edu|Baker College|MI
bakeru.edu|Baker University|KS
bts.edu|Bangor Theological Seminary|ME
bankstreet.edu|Bank Street College of Education|NY
gobbc.edu|Baptist Bible College|MO
bbc.edu|Baptist Bible College & Seminary|PA
baptistcollege.edu|The Baptist College of Florida|FL
bchs.edu|Baptist Memorial College of Health Sciences|TN
bmats.edu|Baptist Missionary Association Theological Seminary|TX
barclaycollege.edu|Barclay College|KS
bard.edu|Bard College|NY
simons-rock.edu|Bard College at Simon's Rock|MA
barnard.edu|Barnard College|NY
barry.edu|Barry University|FL
barton.edu|Barton College|NC
bastyr.edu|Bastyr University|WA
bates.edu|Bates College|ME
bauder.edu|Bauder College|GA
baypath.edu|Bay Path College|MA
baystate.edu|Bay State College|MA
bcm.edu|Baylor College of Medicine|TX
baylor.edu|Baylor University|TX
beaconcollege.edu|Beacon College|FL
becker.edu|Becker College|MA
belhaven.edu|Belhaven University|MS
bellarmine.edu|Bellarmine University|KY
bellevuecollege.edu|Bellevue College|WA
bellevue.edu|Bellevue University|NE
bellincollege.edu|Bellin College|WI
belmont.edu" TARGET="_blank" CLASS="institution">Belmont University|TN
belmontabbeycollege.edu|Belmont Abbey College|NC
beloit.edu|Beloit College|WI
bemidjistate.edu|Bemidji State University|MN
benedict.edu|Benedict College|SC
benedictine.edu|Benedictine College|KS
ben.edu|Benedictine University|IL
bfit.edu|Benjamin Franklin Institute of Technology|MA
bennett.edu|Bennett College for Women|NC
bennington.edu|Bennington College|VT
bentley.edu|Bentley University|MA
berea.edu|Berea College|KY
berkeleycollege.edu|Berkeley College|NJ
berklee.edu|Berklee College of Music|MA
berry.edu|Berry College|GA
bethanylb.edu|Bethany College|KS
bethanywv.edu|Bethany College|WV
blc.edu|Bethany Lutheran College|MN
bethanyseminary.edu|Bethany Theological Seminary|IN
bethelcollege.edu|Bethel College|IN
bethelks.edu|Bethel College|KS
bethel.edu|Bethel University & Seminary|MN
bethelu.edu|Bethel University|TN
buc.edu|Bethesda University of California|CA
bethune.cookman.edu|Bethune-Cookman University|FL
beulah.edu|Beulah Heights University|GA
biblical.edu|Biblical Theological Seminary|PA
biola.edu|Biola University|CA
bsc.edu|Birmingham-Southern College|AL
bismarckstate.edu|Bismark State College|ND
bhsu.edu|Black Hills State University|SD
blackburn.edu|Blackburn College|IL
brcn.edu|Blessing-Rieman College of Nursing|IL
bloomfield.edu|Bloomfield College|NJ
bloomu.edu|Bloomsburg University of Pennsylvania|PA
bmc.edu|Blue Mountain College|MS
bluefield.edu|Bluefield College|VA
bluefieldstate.edu|Bluefield State College|WV
bluffton.edu|Bluffton University|OH
boisestate.edu|Boise State University|ID
boricuacollege.edu|Boricua College|NY
the-bac.edu|Boston Architectural College|MA
bc.edu|Boston College|MA
bostonconservatory.edu|Boston Conservatory|MA
bgsp.edu|Boston Graduate School of Psychoanalysis|MA
bu.edu|Boston University|MA
bowdoin.edu|Bowdoin College|ME
bowiestate.edu|Bowie State University|MD
bgsu.edu|Bowling Green State University|OH
bradley.edu|Bradley University|IL
brandeis.edu|Brandeis University|MA
brandman.edu|Brandman University|CA
brenau.edu|Brenau University|GA
brescia.edu|Brescia University |KY
brevard.edu|Brevard College|NC
bpc.edu|Brewton-Parker College|GA
briarcliff.edu|Briar Cliff University|IA
briarcliffe.edu|Briarcliffe College|NY
bridgewater.edu|Bridgewater College|VA
bridgew.edu|Bridgewater State University|MA
byu.edu|Brigham Young University|UT
byuh.edu|Brigham Young University-Hawaii|HI
byui.edu|Brigham Young University-Idaho|ID
brite.edu|Brite Divinity School|TX
<!--		brooks.edu|Brooks Institute|CA WASC candidate effective 15 Jun 2012 -->
broward.edu|Broward College|FL
brown.edu|Brown University|RI
bryan.edu|Bryan College|TN
bryanhealth.com/CollegeofHealthSciences" TARGET="_blank" CLASS="institution">Bryan College of Health Sciences|NE
bryant.edu|Bryant University|RI
brynathyn.edu|Bryn Athyn College of the New Church|PA
brynmawr.edu|Bryn Mawr College|PA
bucknell.edu|Bucknell University|PA
bvu.edu|Buena Vista University|IA
burlington.edu|Burlington College|VT
butler.edu|Butler University|IN
cabarruscollege.edu|Cabarrus College of Health Sciences|NC
cabrini.edu|Cabrini College|PA
cairn.edu|Cairn University|PA
caldwell.edu|Caldwell College|NJ
calbaptist.edu|California Baptist University|CA
cca.edu|California College of the Arts|CA
calarts.edu|California Institute of the Arts|CA
ciis.edu|California Institute of Integral Studies|CA
caltech.edu|California Institute of Technology|CA
callutheran.edu|California Lutheran University|CA
csum.edu|California Maritime Academy|CA
cnsu.edu|California Northstate University|CA
calpoly.edu|California Polytechnic State University, San Luis Obispo|CA
csupomona.edu|California State Polytechnic University, Pomona|CA
csub.edu|California State University-Bakersfield|CA
csuci.edu|California State University-Channel Islands|CA
csuchico.edu|California State University-Chico|CA
csudh.edu|California State University-Dominguez Hills|CA
csueastbay.edu|California State University-East Bay|CA
fresnostate.edu|California State University-Fresno|CA
fullerton.edu|California State University-Fullerton|CA
csulb.edu|California State University-Long Beach|CA
calstatela.edu|California State University-Los Angeles|CA
csumb.edu|California State University-Monterey Bay|CA
csun.edu|California State University-Northridge|CA
csus.edu|California State University-Sacramento|CA
csusb.edu|California State University-San Bernardino|CA
csusm.edu|California State University-San Marcos|CA
csustan.edu|California State University-Stanislaus|CA
calstate.edu|California State University System|CA
calu.edu|California University of Pennsylvania|PA
ccsj.edu" TARGET="_blank" CLASS="institution">Calumet College of Saint Joseph|IN
cbs.edu|Calvary Baptist Seminary|PA
calvary.edu|Calvary Bible College & Theological Seminary|MO
calvin.edu|Calvin College|MI
cambridgecollege.edu|Cambridge College |MA
cameron.edu|Cameron University|OK
campbell.edu|Campbell University|NC
campbellsville.edu|Campbellsville University|KY
canisius.edu|Canisius College|NY
capella.edu|Capella University|MN
capital.edu|Capital University|OH
capitol-college.edu|Capitol College|MD
stritch.edu|Cardinal Stritch University|WI
caribbean.edu|Caribbean University|PR
carleton.edu|Carleton College|MN
albizu.edu|Carlos Albizu University|PR
mia.albizu.edu|Carlos Albizu University-Miami Campus|FL
carlow.edu|Carlow University|PA
cmu.edu|Carnegie Mellon University|PA
carroll.edu|Carroll College|MT
carrollu.edu|Carroll University|WI
cn.edu|Carson-Newman College|TN
carthage.edu|Carthage College|WI
case.edu|Case Western Reserve University|OH
castleton.edu|Castleton State College|VT
catawba.edu|Catawba College|NC
ctu.edu|Catholic Theological Union|IL
cua.edu|The Catholic University of America|DC
cazenovia.edu|Cazenovia College|NY
cedarcrest.edu|Cedar Crest College|PA
cedarville.edu|Cedarville University|OH
centenarycollege.edu|Centenary College|NJ
centenary.edu|Centenary College of Louisiana|LA
cbc.edu|Central Baptist College|AR
cbts.edu|Central Baptist Theological Seminary|KS
centralchristian.edu|Central Christian College of Kansas|KS
cccb.edu|Central Christian College of the Bible|MO
central.edu|Central College|IA
ccsu.edu|Central Connecticut State University|CT
centralmethodist.edu|Central Methodist University|MO
cmich.edu|Central Michigan University|MI
centralpenn.edu|Central Penn College|PA
centralstate.edu|Central State University|OH
cwu.edu|Central Washington University|WA
centre.edu|Centre College|KY
ceaprc.edu|Centro de Estudios Avanzados de Puerto Rico y el Caribe|PR
csc.edu|Chadron State College|NE
chamberlain.edu|Chamberlain College of Nursing|IL
chaminade.edu|Chaminade University|HI
champlain.edu|Champlain College|VT
chancelloru.edu|Chancellor University|OH
chapman.edu|Chapman University|CA
cdrewu.edu|Charles R. Drew University of Medicine & Science|CA
csuniv.edu|Charleston Southern University|SC
charteroak.edu|Charter Oak State College|CT
chatham.edu|Chatham College|PA
chestercollege.edu|Chester College of New England|NH
chc.edu|Chestnut Hill College|PA
cheyney.edu|Cheyney University|PA
thechicagoschool.edu|The Chicago School of Professional Psychology|IL
csu.edu|Chicago State University|IL
ctschicago.edu|Chicago Theological Seminary|IL
chipola.edu|Chipola College|FL
chowan.edu|Chowan College|NC
cks.edu|Christ the King Seminary|NY
christendom.edu|Christendom College|VA
cbu.edu|Christian Brothers University|TN
cts.edu|Christian Theological Seminary|IN
cnu.edu|Christopher Newport University|VA
cdsp.edu|Church Divinity School of the Pacific|CA
ccuniversity.edu/">Cincinnati Christian University|OH
ccms.edu|Cincinnati College of Mortuary Science|</LI>
citadel.edu|The Citadel|SC
cityu.edu|City University of Seattle|WA
cuny.edu/" TARGET="_blank" ID="cuny">City University of New York|NY
baruch.cuny.edu|Baruch College|</LI>
brooklyn.cuny.edu|Brooklyn College|</LI>
ccny.cuny.edu|City College|</LI>
csi.cuny.edu|College of Staten Island|</LI>
gc.cuny.edu|Graduate School & University Center|</LI>
hunter.cuny.edu|Hunter College|</LI>
jjay.cuny.edu|John Jay College of Criminal Justice|</LI>
lehman.cuny.edu|Lehman College|</LI>
mec.cuny.edu|Medgar Evers College|</LI>
citytech.cuny.edu|New York City College of Technology|</LI>
qc.cuny.edu|Queens College|</LI>
york.cuny.edu|York College|</LI>
claflin.edu|Claflin University|SC
claremont.edu|Claremont Consortium of Colleges|CA)<LI>
cgu.edu|Claremont Graduate University|</LI>
claremontmckenna.edu|Claremont McKenna College|</LI>
hmc.edu|Harvey Mudd College|</LI>
kgi.edu|Keck Graduate Institute of Applied Life Sciences|</LI>
pitzer.edu|Pitzer College|</LI>
pomona.edu|Pomona College|</LI>
scrippscollege.edu|Scripps College|</LI>
cst.edu|Claremont School of Theology|CA
clarion.edu|Clarion University of Pennsylvania|PA
clarku.edu|Clark University|MA
cau.edu|Clark Atlanta University|GA
clarke.edu|Clarke University|IA
clarksoncollege.edu|Clarkson College|NE
clarkson.edu|Clarkson University|NY
clayton.edu|Clayton State University|GA
ccbbc.edu|Clear Creek Baptist Bible College|KY
clearwater.edu|Clearwater Christian College|FL
cleary.edu|Cleary University|MI
clemson.edu|Clemson University|SC
cleveland.edu|Cleveland Chiropractic College|KS
cia.edu|Cleveland Institute of Art|OH
cim.edu|Cleveland Institute of Music|OH
csuohio.edu|Cleveland State University|OH
coastal.edu|Coastal Carolina University|SC
coe.edu|Coe College|IA
cogswell.edu|Cogswell Polytechnical College|CA
coker.edu|Coker College|SC
colby.edu|Colby College|ME
colby-sawyer.edu|Colby-Sawyer College|NH
cunisanjuan.edu|Colegio Universitario de San Juan|PR
colgate.edu|Colgate University|NY
collegeforcreativestudies.edu|College for Creative Studies|MI
cffp.edu|College for Financial Planning|CO
coa.edu|College of the Atlantic|ME
cbshouston.edu|College of Biblical Studies-Houston|TX
cf.edu|College of Central Florida|FL
cofc.edu|College of Charleston|SC
